"Source","Target","weight","width"
13,68,1,0.1
13,70,1,0.1
14,19,1,0.1
14,28,2,0.2
14,31,1,0.1
14,32,2,0.2
14,34,1,0.1
14,39,2,0.2
14,40,1,0.1
14,41,2,0.2
14,43,1,0.1
14,44,1,0.1
14,45,2,0.2
14,52,3,0.3
14,54,2,0.2
14,58,7,0.7
14,59,2,0.2
14,60,2,0.2
14,63,1,0.1
14,65,1,0.1
15,18,1,0.1
15,19,21,2.1
15,21,1,0.1
15,24,2,0.2
15,28,4,0.4
15,30,3,0.3
15,32,2,0.2
15,33,6,0.6
15,38,14,1.4
15,40,12,1.2
15,41,2,0.2
15,70,2,0.2
16,31,7,0.7
16,37,4,0.4
16,45,2,0.2
17,23,4,0.4
17,25,3,0.3
17,26,2,0.2
17,51,1,0.1
17,62,1,0.1
17,67,1,0.1
18,19,1,0.1
18,20,2,0.2
18,21,4,0.4
18,26,1,0.1
18,28,3,0.3
18,29,1,0.1
18,30,1,0.1
18,31,1,0.1
18,36,1,0.1
18,37,1,0.1
18,38,10,1
18,40,3,0.3
18,43,4,0.4
18,48,1,0.1
18,50,1,0.1
18,54,2,0.2
18,58,9,0.9
18,61,1,0.1
18,64,1,0.1
18,70,10,1
19,21,9,0.9
19,27,1,0.1
19,28,3,0.3
19,30,3,0.3
19,31,1,0.1
19,32,6,0.6
19,34,2,0.2
19,38,11,1.1
19,40,104,10.4
19,43,9,0.9
19,48,3,0.3
19,50,1,0.1
19,52,1,0.1
19,55,1,0.1
19,60,3,0.3
19,65,1,0.1
19,66,1,0.1
20,30,1,0.1
20,34,2,0.2
20,55,1,0.1
20,66,4,0.4
21,23,1,0.1
21,27,1,0.1
21,28,5,0.5
21,30,1,0.1
21,34,4,0.4
21,35,1,0.1
21,38,2,0.2
21,40,2,0.2
21,41,3,0.3
21,43,2,0.2
21,44,1,0.1
21,49,8,0.8
21,51,2,0.2
21,52,1,0.1
21,63,1,0.1
21,64,1,0.1
21,70,10,1
22,31,4,0.4
22,32,2,0.2
22,37,1,0.1
22,39,9,0.9
22,45,16,1.6
22,47,1,0.1
22,51,12,1.2
22,55,6,0.6
22,57,3,0.3
22,62,5,0.5
22,66,6,0.6
22,67,1,0.1
22,68,1,0.1
22,69,1,0.1
22,70,1,0.1
23,25,10,1
23,26,4,0.4
23,34,1,0.1
23,35,1,0.1
23,37,1,0.1
23,43,1,0.1
23,49,4,0.4
23,54,1,0.1
23,61,1,0.1
23,62,1,0.1
23,66,1,0.1
23,68,1,0.1
24,28,1,0.1
24,30,4,0.4
24,32,23,2.3
24,33,1,0.1
24,37,2,0.2
24,38,2,0.2
24,43,1,0.1
24,51,2,0.2
25,26,12,1.2
25,30,1,0.1
25,35,4,0.4
25,40,1,0.1
26,35,1,0.1
26,36,4,0.4
26,67,1,0.1
27,29,36,3.6
27,30,3,0.3
27,44,11,1.1
27,50,11,1.1
27,52,31,3.1
27,58,11,1.1
27,59,1,0.1
27,65,37,3.7
28,32,5,0.5
28,39,1,0.1
28,41,15,1.5
28,45,4,0.4
28,48,1,0.1
28,51,1,0.1
28,52,2,0.2
28,56,1,0.1
29,30,2,0.2
29,32,3,0.3
29,44,23,2.3
29,48,1,0.1
29,49,5,0.5
29,50,12,1.2
29,52,32,3.2
29,55,2,0.2
29,58,11,1.1
29,59,1,0.1
29,60,2,0.2
29,63,4,0.4
29,65,36,3.6
29,67,1,0.1
29,68,1,0.1
30,31,1,0.1
30,32,5,0.5
30,33,1,0.1
30,36,1,0.1
30,37,3,0.3
30,40,1,0.1
30,43,2,0.2
30,46,3,0.3
30,47,1,0.1
30,49,1,0.1
30,55,1,0.1
30,65,1,0.1
30,72,2,0.2
31,32,1,0.1
31,37,5,0.5
31,39,6,0.6
31,42,5,0.5
31,43,1,0.1
31,45,2,0.2
31,47,1,0.1
31,51,2,0.2
31,56,1,0.1
31,61,1,0.1
31,62,2,0.2
31,66,1,0.1
31,68,1,0.1
31,71,4,0.4
32,40,7,0.7
32,41,3,0.3
32,45,2,0.2
33,34,2,0.2
33,38,4,0.4
33,41,1,0.1
33,55,1,0.1
34,35,1,0.1
34,36,1,0.1
34,42,1,0.1
34,54,4,0.4
34,61,1,0.1
34,62,1,0.1
34,66,1,0.1
34,72,2,0.2
35,36,1,0.1
35,37,5,0.5
35,50,1,0.1
35,53,2,0.2
36,55,1,0.1
36,61,1,0.1
37,40,1,0.1
37,44,1,0.1
37,46,1,0.1
37,47,4,0.4
37,52,1,0.1
37,61,2,0.2
37,62,1,0.1
37,65,2,0.2
37,67,1,0.1
38,40,3,0.3
38,43,3,0.3
38,50,1,0.1
38,53,2,0.2
38,70,8,0.8
39,40,1,0.1
39,45,9,0.9
